id_department,id_criteria
64,192
64,193
64,194
64,195
64,196
64,197
64,198
64,199
64,201
64,202
64,203
64,204
64,205
64,206
64,207
64,208
64,209
64,210
64,211
64,212
64,213
64,215
64,220
64,223
64,224
64,226
64,227
64,228
64,229
64,230
64,231
64,232
64,233
64,234
64,235
64,236
65,192
65,193
65,194
65,195
65,196
65,197
65,198
65,199
65,200
65,201
65,202
65,203
65,208
65,209
65,210
65,211
65,212
65,213
65,214
65,215
65,216
65,217
65,218
65,219
65,220
65,221
65,222
65,223
65,224
65,225
65,228
65,229
65,230
65,231
65,232
65,233
65,234
65,235
65,236
66,194
66,195
66,196
66,197
66,198
66,199
66,201
66,202
66,203
66,204
66,205
66,206
66,207
66,208
66,209
66,210
66,211
66,212
66,213
66,215
66,220
66,223
66,224
66,225
66,228
66,229
66,230
66,231
66,232
66,233
66,234
66,235
66,236
67,192
67,193
67,194
67,195
67,196
67,197
67,198
67,199
67,201
67,202
67,203
67,204
67,207
67,208
67,209
67,210
67,211
67,212
67,213
67,215
67,220
67,223
67,224
67,225
67,228
67,229
67,230
67,231
67,232
67,233
67,234
67,235
67,236
68,192
68,193
68,194
68,195
68,196
68,197
68,198
68,199
68,201
68,202
68,203
68,204
68,205
68,206
68,207
68,208
68,209
68,210
68,211
68,212
68,213
68,214
68,215
68,218
68,220
68,223
68,224
68,225
68,227
68,228
68,229
68,230
68,231
68,232
68,233
68,234
68,235
68,236
69,194
69,195
69,196
69,197
69,198
69,199
69,201
69,202
69,203
69,204
69,205
69,207
69,208
69,209
69,210
69,211
69,212
69,213
69,215
69,220
69,228
69,229
69,230
69,231
69,232
69,233
69,234
69,235
69,236
70,192
70,193
70,194
70,195
70,196
70,197
70,198
70,199
70,201
70,202
70,203
70,204
70,205
70,206
70,207
70,208
70,209
70,210
70,211
70,212
70,213
70,214
70,215
70,220
70,228
70,229
70,230
70,231
70,232
70,233
70,234
70,235
70,236
