id_department,id_criteria
13,1
13,14
13,15
13,18
13,19
13,21
13,23
13,25
13,27
13,28
13,29
13,30
13,31
13,34
13,35
13,36
13,38
13,40
13,41
13,49
13,55
13,56
13,57
13,58
13,59
13,60
13,61
13,62
13,64
13,65
13,66
13,67
13,68
13,69
13,70
13,74
13,75
13,76
13,77
13,85
13,86
13,87
13,88
13,89
13,90
13,93
13,94
13,95
13,96
13,109
13,110
13,111
13,112
13,128
13,129
13,130
13,131
13,132
13,133
13,134
13,135
13,136
13,137
13,138
13,139
13,140
13,141
13,142
13,147
13,148
13,149
13,150
13,151
13,158
13,159
13,160
13,161
13,162
13,163
13,164
13,165
13,166
13,172
13,175
13,176
13,177
13,178
13,179
13,180
13,181
13,182
13,183
13,187
13,188
13,191
14,1
14,14
14,15
14,18
14,19
14,21
14,23
14,25
14,27
14,28
14,29
14,30
14,31
14,34
14,35
14,36
14,38
14,40
14,41
14,49
14,55
14,56
14,57
14,58
14,59
14,60
14,61
14,62
14,64
14,65
14,66
14,67
14,68
14,69
14,70
14,74
14,75
14,76
14,77
14,85
14,86
14,87
14,88
14,89
14,90
14,93
14,94
14,95
14,96
14,109
14,110
14,111
14,112
14,128
14,129
14,130
14,131
14,132
14,133
14,134
14,135
14,136
14,137
14,138
14,139
14,140
14,141
14,142
14,147
14,148
14,149
14,150
14,151
14,158
14,159
14,160
14,161
14,162
14,163
14,164
14,165
14,166
14,172
14,175
14,176
14,177
14,178
14,179
14,180
14,181
14,182
14,183
14,187
14,188
14,191
15,1
15,14
15,15
15,18
15,19
15,21
15,23
15,25
15,27
15,28
15,29
15,30
15,31
15,34
15,35
15,36
15,38
15,40
15,41
15,49
15,55
15,56
15,57
15,58
15,59
15,60
15,61
15,62
15,64
15,65
15,66
15,67
15,68
15,69
15,70
15,74
15,75
15,76
15,77
15,85
15,86
15,87
15,88
15,89
15,90
15,93
15,94
15,95
15,96
15,109
15,110
15,111
15,112
15,128
15,129
15,130
15,131
15,132
15,133
15,134
15,135
15,136
15,137
15,138
15,139
15,140
15,141
15,142
15,147
15,148
15,149
15,150
15,151
15,158
15,159
15,160
15,161
15,162
15,163
15,164
15,165
15,166
15,172
15,175
15,176
15,177
15,178
15,179
15,180
15,181
15,182
15,183
15,187
15,188
15,191
16,1
16,14
16,15
16,18
16,19
16,21
16,23
16,25
16,27
16,28
16,29
16,30
16,31
16,34
16,35
16,36
16,38
16,40
16,41
16,49
16,55
16,56
16,57
16,58
16,59
16,60
16,61
16,62
16,64
16,65
16,66
16,67
16,68
16,69
16,70
16,74
16,75
16,76
16,77
16,85
16,86
16,87
16,88
16,89
16,90
16,93
16,94
16,95
16,96
16,109
16,110
16,111
16,112
16,128
16,129
16,130
16,131
16,132
16,133
16,134
16,135
16,136
16,137
16,138
16,139
16,140
16,141
16,142
16,147
16,148
16,149
16,150
16,151
16,158
16,159
16,160
16,161
16,162
16,163
16,164
16,165
16,166
16,172
16,175
16,176
16,177
16,178
16,179
16,180
16,181
16,182
16,183
16,187
16,188
16,191
17,1
17,14
17,15
17,18
17,19
17,21
17,23
17,25
17,27
17,28
17,29
17,30
17,31
17,34
17,35
17,36
