id_department,id_criteria
11,1
11,3
11,5
11,14
11,15
11,16
11,18
11,19
11,21
11,23
11,25
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,35
11,36
11,37
11,38
11,40
11,41
11,49
11,52
11,63
11,70
11,71
11,74
11,75
11,76
11,85
11,86
11,89
11,90
11,91
11,93
11,94
11,95
11,97
11,98
11,99
11,106
11,109
11,110
11,111
11,112
11,113
11,114
11,138
11,159
11,160
11,162
11,163
11,164
11,165
11,166
11,172
11,175
11,176
11,177
11,178
11,179
11,180
11,181
11,182
11,183
11,187
11,188
11,189
11,190
11,191
23,1
23,3
23,5
23,14
23,15
23,16
23,18
23,19
23,21
23,23
23,25
23,28
23,29
23,30
23,31
23,32
23,33
23,34
23,35
23,36
23,37
23,38
23,40
23,41
23,49
23,52
23,63
23,70
23,71
23,74
23,75
23,76
23,85
23,86
23,89
23,90
23,91
23,93
23,94
23,95
23,97
23,98
23,99
23,106
23,109
23,110
23,111
23,112
23,113
23,114
23,138
23,159
23,160
23,162
23,163
23,164
23,165
23,166
23,172
23,175
23,176
23,177
23,178
23,179
23,180
23,181
23,182
23,183
23,187
23,188
23,189
23,190
23,191
34,1
34,3
34,5
34,14
34,15
34,16
34,18
34,19
34,21
34,23
34,25
34,28
34,29
34,30
34,31
34,32
34,33
34,34
34,35
34,36
34,37
34,38
34,40
34,41
34,49
34,52
34,63
34,70
34,71
34,74
34,75
34,76
34,85
34,86
34,89
34,90
34,91
34,93
34,94
34,95
34,97
34,98
34,99
34,106
34,109
34,110
34,111
34,112
34,113
34,114
34,138
34,159
34,160
34,162
34,163
34,164
34,165
34,166
34,172
34,175
34,176
34,177
34,178
34,179
34,180
34,181
34,182
34,183
34,187
34,188
34,189
34,190
34,191
48,1
48,3
48,5
48,14
48,15
48,16
48,18
48,19
48,21
48,23
48,25
48,28
48,29
48,30
48,31
48,32
48,33
48,34
48,35
48,36
48,37
48,38
48,40
48,41
48,49
48,52
48,63
48,70
48,71
48,74
48,75
48,76
48,85
48,86
48,89
48,90
48,91
48,93
48,94
48,95
48,97
48,98
48,99
48,106
48,109
48,110
48,111
48,112
48,113
48,114
48,138
48,159
48,160
48,162
48,163
48,164
48,165
48,166
48,172
48,175
48,176
48,177
48,178
48,179
48,180
48,181
48,182
48,183
48,187
48,188
48,189
48,190
48,191
