id_department,id_criteria
35,1
35,14
35,15
35,18
35,19
35,21
35,23
35,25
35,27
35,28
35,29
35,30
35,31
35,34
35,35
35,36
35,38
35,40
35,41
35,49
35,55
35,56
35,57
35,58
35,59
35,60
35,61
35,62
35,64
35,65
35,66
35,67
35,68
35,69
35,70
35,74
35,75
35,76
35,77
35,85
35,86
35,87
35,88
35,89
35,90
35,93
35,94
35,95
35,96
35,109
35,110
35,111
35,112
35,128
35,129
35,130
35,131
35,132
35,133
35,134
35,135
35,136
35,137
35,138
35,139
35,140
35,141
35,142
35,147
35,148
35,149
35,150
35,151
35,158
35,159
35,160
35,161
35,162
35,163
35,164
35,165
35,166
35,172
35,175
35,176
35,177
35,178
35,179
35,180
35,181
35,182
35,183
35,187
35,188
35,191
36,1
36,14
36,15
36,18
36,19
36,21
36,23
36,25
36,27
36,28
36,29
36,30
36,31
36,34
36,35
36,36
36,38
36,40
36,41
36,49
36,55
36,56
36,57
36,58
36,59
36,60
36,61
36,62
36,64
36,65
36,66
36,67
36,68
36,69
36,70
36,74
36,75
36,76
36,77
36,85
36,86
36,87
36,88
36,89
36,90
36,93
36,94
36,95
36,96
36,109
36,110
36,111
36,112
36,128
36,129
36,130
36,131
36,132
36,133
36,134
36,135
36,136
36,137
36,138
36,139
36,140
36,141
36,142
36,147
36,148
36,149
36,150
36,151
36,158
36,159
36,160
36,161
36,162
36,163
36,164
36,165
36,166
36,172
36,175
36,176
36,177
36,178
36,179
36,180
36,181
36,182
36,183
36,187
36,188
36,191
37,1
37,14
37,15
37,18
37,19
37,21
37,23
37,25
37,27
37,28
37,29
37,30
37,31
37,34
37,35
37,36
37,38
37,40
37,41
37,49
37,55
37,56
37,57
37,58
37,59
37,60
37,61
37,62
37,64
37,65
37,66
37,67
37,68
37,69
37,70
37,74
37,75
37,76
37,77
37,85
37,86
37,87
37,88
37,89
37,90
37,93
37,94
37,95
37,96
37,109
37,110
37,111
37,112
37,128
37,129
37,130
37,131
37,132
37,133
37,134
37,135
37,136
37,137
37,138
37,139
37,140
37,141
37,142
37,147
37,148
37,149
37,150
37,151
37,158
37,159
37,160
37,161
37,162
37,163
37,164
37,165
37,166
37,172
37,175
37,176
37,177
37,178
37,179
37,180
37,181
37,182
37,183
37,187
37,188
37,191
38,1
38,14
38,15
38,18
38,19
38,21
38,23
38,25
38,27
38,28
38,29
38,30
38,31
38,34
38,35
38,36
38,38
38,40
38,41
38,49
38,55
38,56
38,57
38,58
38,59
38,60
38,61
38,62
38,64
38,65
38,66
38,67
38,68
38,69
38,70
38,74
38,75
38,76
38,77
38,85
38,86
38,87
38,88
38,89
38,90
38,93
38,94
38,95
38,96
38,109
38,110
38,111
38,112
38,128
38,129
38,130
38,131
38,132
38,133
38,134
38,135
38,136
38,137
38,138
38,139
38,140
38,141
38,142
38,147
38,148
38,149
38,150
38,151
38,158
38,159
38,160
38,161
38,162
38,163
38,164
38,165
38,166
38,172
38,175
38,176
38,177
38,178
38,179
38,180
38,181
38,182
38,183
38,187
38,188
38,191
39,1
39,14
39,15
39,18
39,19
39,21
39,23
39,25
39,27
39,28
39,29
39,30
39,31
39,34
39,35
39,36
39,38
39,40
39,41
39,49
39,55
39,56
39,57
39,58
39,59
39,60
39,61
39,62
39,64
39,65
39,66
39,67
39,68
39,69
39,70
39,74
39,75
39,76
39,77
39,85
39,86
39,87
39,88
39,89
39,90
39,93
39,94
39,95
39,96
39,109
39,110
39,111
39,112
39,128
39,129
39,130
39,131
39,132
39,133
39,134
39,135
39,136
39,137
39,138
39,139
39,140
39,141
39,142
39,147
39,148
39,149
39,150
39,151
39,158
39,159
39,160
39,161
39,162
39,163
39,164
39,165
39,166
39,172
39,175
39,176
39,177
39,178
39,179
39,180
39,181
39,182
39,183
39,187
39,188
39,191
40,1
40,14
40,15
40,18
40,19
40,21
40,23
40,25
40,27
40,28
40,29
40,30
40,31
40,34
40,35
40,36
40,38
40,40
40,41
40,49
40,55
40,56
40,57
40,58
40,59
40,60
40,61
40,62
40,64
40,65
40,66
40,67
40,68
40,69
40,70
40,74
40,75
40,76
40,77
40,85
40,86
40,87
40,88
40,89
40,90
40,93
40,94
40,95
40,96
40,109
40,110
40,111
40,112
40,128
40,129
40,130
40,131
40,132
40,133
40,134
40,135
40,136
40,137
40,138
40,139
40,140
40,141
40,142
40,147
40,148
40,149
40,150
40,151
40,158
40,159
40,160
40,161
40,162
40,163
40,164
40,165
40,166
40,172
40,175
40,176
40,177
40,178
40,179
40,180
40,181
40,182
40,183
40,187
40,188
40,191
41,1
41,14
41,15
41,18
41,19
41,21
41,23
41,25
41,27
41,28
41,29
41,30
41,31
41,34
41,35
41,36
41,38
41,40
41,41
41,49
41,55
41,56
41,57
41,58
41,59
41,60
41,61
41,62
41,64
41,65
41,66
41,67
41,68
41,69
41,70
41,74
41,75
41,76
41,77
41,85
41,86
41,87
41,88
41,89
41,90
41,93
41,94
41,95
41,96
41,109
41,110
41,111
41,112
41,128
41,129
41,130
41,131
41,132
41,133
41,134
41,135
41,136
41,137
41,138
41,139
41,140
41,141
41,142
41,147
41,148
41,149
41,150
41,151
41,158
41,159
41,160
41,161
41,162
41,163
41,164
41,165
41,166
